DATAFLOW,MEASURE,PROPERTY_TYPE,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_STATUS,OBS_COMMENT
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2003-Q3,60.5,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2003-Q4,66.4,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2004-Q1,67.6,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2004-Q2,68.6,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2004-Q3,69.9,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2004-Q4,70.2,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2005-Q1,70.6,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2005-Q2,72.7,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2005-Q3,73.6,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2005-Q4,74.8,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2006-Q1,75.3,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2006-Q2,78.7,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2006-Q3,78.9,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2006-Q4,80.7,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2007-Q1,82.8,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2007-Q2,88.1,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2007-Q3,92.7,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2007-Q4,96.7,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2008-Q1,97.5,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2008-Q2,98.9,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2008-Q3,95.5,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2008-Q4,94.3,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2009-Q1,94.2,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2009-Q2,97.5,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2009-Q3,101.4,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2009-Q4,103.1,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2010-Q1,102.9,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2010-Q2,104.6,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2010-Q3,102.7,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2010-Q4,101.7,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2011-Q1,98.9,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2011-Q2,100.5,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2011-Q3,99.1,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2011-Q4,100.5,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2012-Q1,99.5,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2012-Q2,100.9,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2012-Q3,101.5,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2012-Q4,101.6,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2013-Q1,103,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2013-Q2,103.3,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2013-Q3,103.6,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2013-Q4,105.1,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2014-Q1,107.6,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2014-Q2,108.8,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2014-Q3,109.4,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2014-Q4,108.5,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2015-Q1,109.3,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2015-Q2,110.1,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2015-Q3,110.3,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2015-Q4,110.8,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2016-Q1,111.6,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2016-Q2,112.7,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2016-Q3,112,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2016-Q4,110.5,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2017-Q1,111.2,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2017-Q2,111.2,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2017-Q3,111.6,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2017-Q4,110.3,IN,,
ABS:RPPI(1.0.0),1,1,3GBRI,Q,2018-Q1,110.6,IN,,
