DATAFLOW,MEASURE,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2011-Q3,253939.4,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2011-Q4,257468.3,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2012-Q1,253614,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2012-Q2,254790.2,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2012-Q3,254105.2,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2012-Q4,254907.5,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2013-Q1,258308.7,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2013-Q2,259017.6,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2013-Q3,262555.2,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2013-Q4,272773.3,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2014-Q1,277542.8,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2014-Q2,278665.4,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2014-Q3,279057.2,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2014-Q4,287533,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2015-Q1,289528,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2015-Q2,289484,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2015-Q3,294526.6,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2015-Q4,298277.6,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2016-Q1,301678.6,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2016-Q2,301541.4,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2016-Q3,302755.1,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2016-Q4,310234.6,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2017-Q1,315241.4,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2017-Q2,314747.3,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2017-Q3,319267,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2017-Q4,325398.7,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2018-Q1,328174.4,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2018-Q2,326481,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2018-Q3,329228.7,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2018-Q4,335972.2,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2019-Q1,335884.6,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2019-Q2,334262.8,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2019-Q3,333666.6,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2019-Q4,347601.2,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2020-Q1,344736.8,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2020-Q2,347017.4,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2020-Q3,359016.4,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2020-Q4,376038.5,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2021-Q1,389961.5,AUD,6,,
ABS:RES_DWELL_ST(1.0.0),2,4,Q,2021-Q2,409635.4,AUD,6,,
